modelo,n_features,n_registros,fraudes,auc_roc_teste,average_precision_teste,recall_teste,precision_teste,f1_teste,tn,fp,fn,tp,auc_roc_cv_media,auc_roc_cv_desvio,avg_precision_cv_media,avg_precision_cv_desvio,recall_cv_media,precision_cv_media,f1_cv_media
RF baseline (sem clusters) - base completa,30,283726,473,0.9490714615526832,0.8240624424814501,0.7263157894736842,0.9583333333333334,0.8263473053892215,56648,3,26,69,0.9587083792078195,0.006864510545695263,0.8371264193314463,0.019624204218652325,0.7672564389697649,0.9311913911554877,0.840683342439287
RF K-Means + DBSCAN - base completa,38,283726,473,0.9489899839181545,0.8121603440645294,0.7263157894736842,0.9583333333333334,0.8263473053892215,56648,3,26,69,0.9610661805739504,0.010524136840789108,0.8365911289327632,0.019197290893848386,0.7693840985442331,0.9438546914244828,0.8469971979978392
