familia,modelo,n_features,n_registros,fraudes,threshold,calibrado,auc_roc_teste,average_precision_teste,recall_teste,precision_teste,f1_teste,tn,fp,fn,tp,auc_roc_cv_media,auc_roc_cv_desvio,avg_precision_cv_media,avg_precision_cv_desvio,recall_cv_media,precision_cv_media,f1_cv_media,pred_key,observacao
MLP,MLP baseline (sem clusters) - base completa,30,283726,473,0.5,False,0.9549477920675903,0.7324731255813033,0.8421052631578947,0.17699115044247787,0.29250457038391225,56279,372,15,80,0.9668913469295555,0.017627422721469353,0.7664621922350545,0.040485508651864816,0.8774468085106383,0.1816065346267534,0.2869195724888191,mlp_baseline,Baseline neural com 30 features originais.
MLP,MLP K-Means + DBSCAN - base completa,38,283726,473,0.5,False,0.9697324987992036,0.7130042371139775,0.8736842105263158,0.09673659673659674,0.17418677859391396,55876,775,12,83,0.9709307268488461,0.014503767287704718,0.7677837592790546,0.02650004402921753,0.8668309070548712,0.22093580695709653,0.34628451583992126,mlp_clusters,Features originais + K-Means one-hot + ruido DBSCAN.
MLP,MLP apenas DBSCAN - base completa,32,283726,473,0.5,False,0.9638819029533552,0.7475460701503538,0.8631578947368421,0.0993939393939394,0.1782608695652174,55908,743,13,82,0.9653663139144173,0.011514611606441053,0.7703440324956855,0.041511147688867996,0.8645912653975364,0.2457738009458205,0.3542468762691995,mlp_dbscan,Features originais + sinal binario de ruido DBSCAN.
Regressao Logistica,Regressao Logistica balanceada - base completa,30,283726,473,0.5,False,0.9656548079701293,0.6719244530518994,0.8736842105263158,0.05638586956521739,0.10593490746649649,55262,1389,12,83,0.9783748633124564,0.005263190405755734,0.7125424129514351,0.019991904220920703,0.9133258678611422,0.06092299807176506,0.11422219476874074,lr_baseline,Baseline linear escalonado com class_weight='balanced'.
