familia,modelo,n_features,threshold,calibrado,auc_roc_teste,average_precision_teste,recall_teste,precision_teste,f1_teste,auc_roc_cv_media,avg_precision_cv_media,f1_cv_media,observacao
Random Forest,RF baseline (sem clusters) - base completa,30,0.5,False,0.9490714615526832,0.8240624424814501,0.7263157894736842,0.9583333333333334,0.8263473053892215,0.9587083792078196,0.8371264193314463,0.840683342439287,RF baseline da Semana 5 (referencia principal).
Random Forest,RF K-Means + DBSCAN - base completa,38,0.5,False,0.9489899839181544,0.8121603440645294,0.7263157894736842,0.9583333333333334,0.8263473053892215,0.9610661805739504,0.8365911289327632,0.8469971979978392,RF com K-Means + DBSCAN da Semana 5.
Random Forest,RF apenas DBSCAN - base completa,32,0.5,False,0.9328549967529722,0.8082598569528873,0.7263157894736842,0.971830985915493,0.8313253012048193,0.9586999632180851,0.838592760618635,0.8422655509977186,RF apenas com ruido DBSCAN da Semana 5.
MLP,MLP baseline (sem clusters) - base completa,30,0.5,False,0.9549477920675904,0.7324731255813033,0.8421052631578947,0.1769911504424778,0.2925045703839122,0.9668913469295556,0.7664621922350545,0.2869195724888191,Baseline neural com 30 features originais.
MLP,MLP K-Means + DBSCAN - base completa,38,0.5,False,0.9697324987992036,0.7130042371139775,0.8736842105263158,0.0967365967365967,0.1741867785939139,0.970930726848846,0.7677837592790546,0.3462845158399212,Features originais + K-Means one-hot + ruido DBSCAN.
MLP,MLP apenas DBSCAN - base completa,32,0.5,False,0.9638819029533552,0.7475460701503538,0.8631578947368421,0.0993939393939394,0.1782608695652174,0.9653663139144172,0.7703440324956855,0.3542468762691995,Features originais + sinal binario de ruido DBSCAN.
Regressao Logistica,Regressao Logistica balanceada - base completa,30,0.5,False,0.9656548079701291,0.6719244530518994,0.8736842105263158,0.0563858695652173,0.1059349074664964,0.9783748633124564,0.7125424129514351,0.1142221947687407,Baseline linear escalonado com class_weight='balanced'.
