modelo,n_features,n_registros,fraudes,auc_roc_teste,average_precision_teste,recall_teste,precision_teste,f1_teste,tn,fp,fn,tp,auc_roc_cv_media,auc_roc_cv_desvio,avg_precision_cv_media,avg_precision_cv_desvio,recall_cv_media,precision_cv_media,f1_cv_media
Random Forest sem clusters,30,15000,25,0.9989983305509181,0.6058333333333334,0.8,0.8,0.8,2994,1,1,4,0.9774958263772955,0.04098399775788478,0.8544996617226126,0.06011667653758801,0.7200000000000001,0.9199999999999999,0.7977777777777778
Random Forest com clusters,38,15000,25,0.9936560934891485,0.653642611683849,0.8,0.8,0.8,2994,1,1,4,0.9375826377295493,0.05080020308630932,0.8155333333333333,0.0832726712540061,0.7200000000000001,0.9199999999999999,0.7977777777777778
