familia,modelo,n_features,threshold,calibrado,auc_roc_teste,average_precision_teste,recall_teste,precision_teste,f1_teste,auc_roc_cv_media,avg_precision_cv_media,f1_cv_media,observacao
Random Forest,RF baseline (sem clusters) - base completa,30,0.5,False,0.9490714615526832,0.8240624424814501,0.7263157894736842,0.9583333333333334,0.8263473053892215,0.9587083792078196,0.8371264193314463,0.840683342439287,RF baseline da Semana 5 (referencia principal).
Random Forest,RF K-Means + DBSCAN - base completa,38,0.5,False,0.9489899839181544,0.8121603440645294,0.7263157894736842,0.9583333333333334,0.8263473053892215,0.9610661805739504,0.8365911289327632,0.8469971979978392,RF com K-Means + DBSCAN da Semana 5.
Random Forest,RF apenas DBSCAN - base completa,32,0.5,False,0.9328549967529722,0.8082598569528873,0.7263157894736842,0.971830985915493,0.8313253012048193,0.9586999632180851,0.838592760618635,0.8422655509977186,RF apenas com ruido DBSCAN da Semana 5.
Regressao Logistica,Regressao Logistica balanceada [limiar 0.529],30,0.5288332061467266,True,0.9616824713457931,0.6987624634940217,0.6526315789473685,0.8732394366197183,0.7469879518072289,,,,Baseline linear escalonado. Calibrado + limiar otimizado (recall val >= 72% ou max F1).
MLP ajustado,"MLP (64,32) alpha=1e-4 [limiar 0.416]",30,0.41578618237125525,True,0.9448880448991006,0.7558397657481122,0.6842105263157895,0.8227848101265823,0.7471264367816092,,,,"Arquitetura (64, 32), alpha=0.0001. Calibrado + limiar otimizado (recall val >= 72% ou max F1)."
MLP ajustado,"MLP (32,16) alpha=1e-3 [limiar 0.575]",30,0.5752737286189988,True,0.9602684581217036,0.7184921299217557,0.6,0.8769230769230769,0.7125,,,,"Arquitetura (32, 16), alpha=0.001. Calibrado + limiar otimizado (recall val >= 72% ou max F1)."
MLP ajustado,"MLP (32,) alpha=1e-3 [limiar 0.657]",30,0.6567681799774806,True,0.9625223320255414,0.7308019301055806,0.7157894736842105,0.8947368421052632,0.7953216374269005,,,,"Arquitetura (32,), alpha=0.001. Calibrado + limiar otimizado (recall val >= 72% ou max F1)."
MLP ajustado,"MLP (16,) alpha=1e-2 [limiar 0.595]",30,0.5947613313666488,True,0.9519464049967994,0.7200415677760134,0.7368421052631579,0.875,0.8,,,,"Arquitetura (16,), alpha=0.01. Calibrado + limiar otimizado (recall val >= 72% ou max F1)."
