familia,modelo,n_features,n_registros,fraudes,threshold,calibrado,auc_roc_teste,average_precision_teste,recall_teste,precision_teste,f1_teste,tn,fp,fn,tp,auc_roc_cv_media,auc_roc_cv_desvio,avg_precision_cv_media,avg_precision_cv_desvio,recall_cv_media,precision_cv_media,f1_cv_media,pred_key,observacao
Regressao Logistica,Regressao Logistica balanceada [limiar 0.529],30,283726,473,0.5288332061467266,True,0.9616824713457931,0.6987624634940217,0.6526315789473685,0.8732394366197183,0.7469879518072289,56642,9,33,62,,,,,,,,lr_baseline_tuned,Baseline linear escalonado. Calibrado + limiar otimizado (recall val >= 72% ou max F1).
MLP ajustado,"MLP (64,32) alpha=1e-4 [limiar 0.416]",30,283726,473,0.41578618237125525,True,0.9448880448991006,0.7558397657481122,0.6842105263157895,0.8227848101265823,0.7471264367816092,56637,14,30,65,,,,,,,,mlp_(6432)_alpha1e-4_tuned,"Arquitetura (64, 32), alpha=0.0001. Calibrado + limiar otimizado (recall val >= 72% ou max F1)."
MLP ajustado,"MLP (32,16) alpha=1e-3 [limiar 0.575]",30,283726,473,0.5752737286189988,True,0.9602684581217036,0.7184921299217557,0.6,0.8769230769230769,0.7125,56643,8,38,57,,,,,,,,mlp_(3216)_alpha1e-3_tuned,"Arquitetura (32, 16), alpha=0.001. Calibrado + limiar otimizado (recall val >= 72% ou max F1)."
MLP ajustado,"MLP (32,) alpha=1e-3 [limiar 0.657]",30,283726,473,0.6567681799774806,True,0.9625223320255414,0.7308019301055806,0.7157894736842105,0.8947368421052632,0.7953216374269005,56643,8,27,68,,,,,,,,mlp_(32)_alpha1e-3_tuned,"Arquitetura (32,), alpha=0.001. Calibrado + limiar otimizado (recall val >= 72% ou max F1)."
MLP ajustado,"MLP (16,) alpha=1e-2 [limiar 0.595]",30,283726,473,0.5947613313666488,True,0.9519464049967994,0.7200415677760134,0.7368421052631579,0.875,0.8,56641,10,25,70,,,,,,,,mlp_(16)_alpha1e-2_tuned,"Arquitetura (16,), alpha=0.01. Calibrado + limiar otimizado (recall val >= 72% ou max F1)."
